"","Species","EPU","sex","YEAR","MeanCond","nCond","n","scaleCond","category"
"1","Black Sea Bass","MAB","F",1992,105.38163614039,41,27,0.923535073227885,"Good Condition"
"2","Black Sea Bass","MAB","F",1993,104.802326080974,23,27,0.703036803101523,"OK"
"3","Black Sea Bass","MAB","F",1994,106.26208848237,21,27,1.25865478188833,"Good Condition"
"4","Black Sea Bass","MAB","F",1995,106.952779464053,37,27,1.52154710384564,"Good Condition"
"5","Black Sea Bass","MAB","F",1996,104.80389444263,20,27,0.703633756367545,"OK"
"6","Black Sea Bass","MAB","F",1997,107.594145905882,38,27,1.76566541085888,"Good Condition"
"7","Black Sea Bass","MAB","F",1998,102.816298940577,36,27,-0.0528892191797158,"Neutral"
"8","Black Sea Bass","MAB","F",1999,103.307879878063,29,27,0.134217399428224,"Neutral"
"9","Black Sea Bass","MAB","F",2000,106.421120977042,53,27,1.31918608010939,"Good Condition"
"10","Black Sea Bass","MAB","F",2001,102.464845686251,51,27,-0.186660130541685,"Neutral"
"11","Black Sea Bass","MAB","F",2002,101.404503742861,86,27,-0.590249815305186,"Mediocre"
"12","Black Sea Bass","MAB","F",2003,101.740674575887,71,27,-0.462295732781512,"Mediocre"
"13","Black Sea Bass","MAB","F",2004,102.067841181047,40,27,-0.337768859290524,"Mediocre"
"14","Black Sea Bass","MAB","F",2005,97.3319299156228,18,27,-2.14036183092195,"Poor Condition"
"15","Black Sea Bass","MAB","F",2006,103.596380562803,22,27,0.244027165168608,"OK"
"16","Black Sea Bass","MAB","F",2007,99.9245869372966,48,27,-1.1535390077749,"Poor Condition"
"17","Black Sea Bass","MAB","F",2008,100.747732032801,31,27,-0.840231709426087,"Mediocre"
"18","Black Sea Bass","MAB","F",2009,102.580779501558,130,27,-0.142533146539186,"Neutral"
"19","Black Sea Bass","MAB","F",2010,101.195666851242,95,27,-0.66973777273345,"Mediocre"
"20","Black Sea Bass","MAB","F",2011,104.668098796471,109,27,0.651946918581728,"OK"
"21","Black Sea Bass","MAB","F",2012,102.432427471739,213,27,-0.198999222715667,"Neutral"
"22","Black Sea Bass","MAB","F",2013,106.580333949619,90,27,1.37978607222811,"Good Condition"
"23","Black Sea Bass","MAB","F",2014,102.82266327723,129,27,-0.0504668113519193,"Neutral"
"24","Black Sea Bass","MAB","F",2015,101.998202411881,188,27,-0.364274920915651,"Mediocre"
"25","Black Sea Bass","MAB","F",2016,100.536815872967,129,27,-0.920511082499841,"Poor Condition"
"26","Black Sea Bass","MAB","F",2018,97.7656948438139,158,27,-1.97526126904994,"Poor Condition"
"27","Black Sea Bass","MAB","F",2019,101.590498625083,171,27,-0.519456033778684,"Mediocre"
"28","Bluefish","MAB","F",1992,94.7320359670074,24,27,-0.592648632644762,"Mediocre"
"29","Bluefish","MAB","F",1993,98.3376799762874,10,27,2.45391554970565,"Good Condition"
"30","Bluefish","MAB","F",1994,96.9187095422044,47,27,1.25496621106733,"Good Condition"
"31","Bluefish","MAB","F",1995,95.6115248683777,57,27,0.150469484061529,"Neutral"
"32","Bluefish","MAB","F",1996,94.6061977209868,35,27,-0.698974795768329,"Mediocre"
"33","Bluefish","MAB","F",1997,95.5894878747634,17,27,0.131849477411092,"Neutral"
"34","Bluefish","MAB","F",1998,95.8145380726539,20,27,0.322004098987535,"OK"
"35","Bluefish","MAB","F",1999,95.7011033025808,53,27,0.226158167817327,"OK"
"36","Bluefish","MAB","F",2000,95.4707559336064,43,27,0.0315277378553274,"Neutral"
"37","Bluefish","MAB","F",2001,95.0583811238702,22,27,-0.316905530047025,"Mediocre"
"38","Bluefish","MAB","F",2002,94.5824123710067,17,27,-0.719072064141861,"Mediocre"
"39","Bluefish","MAB","F",2003,96.2765497872749,29,27,0.712377729320412,"OK"
"40","Bluefish","MAB","F",2004,93.482533565162,27,27,-1.64840711945747,"Poor Condition"
"41","Bluefish","MAB","F",2005,94.3810285350277,31,27,-0.889229955497413,"Poor Condition"
"42","Bluefish","MAB","F",2006,94.0196851508441,40,27,-1.19454457029291,"Poor Condition"
"43","Bluefish","MAB","F",2007,94.3814381898958,22,27,-0.888883820425552,"Poor Condition"
"44","Bluefish","MAB","F",2008,94.1380217853526,25,27,-1.09455684237924,"Poor Condition"
"45","Bluefish","MAB","F",2009,96.3357471964103,38,27,0.762396174262735,"OK"
"46","Bluefish","MAB","F",2010,96.8135802021121,49,27,1.16613789601046,"Good Condition"
"47","Bluefish","MAB","F",2011,94.2311963740718,46,27,-1.01582961252339,"Poor Condition"
"48","Bluefish","MAB","F",2012,94.6513004787693,23,27,-0.660865529841909,"Mediocre"
"49","Bluefish","MAB","F",2013,97.3979681852004,13,27,1.65991251527136,"Good Condition"
"50","Bluefish","MAB","F",2014,94.8391953452269,29,27,-0.502105050791934,"Mediocre"
"51","Bluefish","MAB","F",2015,95.3137686760153,13,27,-0.101117569011274,"Neutral"
"52","Bluefish","MAB","F",2016,94.5760056614266,29,27,-0.724485369471859,"Mediocre"
"53","Bluefish","MAB","F",2018,96.7271058893426,28,27,1.09307201837557,"Good Condition"
"54","Bluefish","MAB","F",2019,96.7149954694764,18,27,1.08283940214873,"Good Condition"
"55","Butterfish","MAB","F",1992,106.174276206522,130,27,0.0789972208168908,"Neutral"
"56","Butterfish","MAB","F",1993,107.32120003817,168,27,0.367786275455922,"OK"
"57","Butterfish","MAB","F",1994,103.645907503459,213,27,-0.557631984530651,"Mediocre"
"58","Butterfish","MAB","F",1995,109.398506945404,183,27,0.890840624298643,"Good Condition"
"59","Butterfish","MAB","F",1996,108.717653129714,178,27,0.719405412687638,"OK"
"60","Butterfish","MAB","F",1997,105.915892199494,137,27,0.0139375620459332,"Neutral"
"61","Butterfish","MAB","F",1998,107.419676279429,210,27,0.392582046397816,"OK"
"62","Butterfish","MAB","F",1999,110.77533922224,153,27,1.23751934929517,"Good Condition"
"63","Butterfish","MAB","F",2000,110.319806488859,76,27,1.12281873553155,"Good Condition"
"64","Butterfish","MAB","F",2001,97.5261349286287,92,27,-2.09855675017166,"Poor Condition"
"65","Butterfish","MAB","F",2002,98.8143307009055,121,27,-1.77419620503318,"Poor Condition"
"66","Butterfish","MAB","F",2003,110.162533184412,156,27,1.08321819044049,"Good Condition"
"67","Butterfish","MAB","F",2004,103.632497988173,9,27,-0.561008426048057,"Mediocre"
"68","Butterfish","MAB","F",2005,98.4988613917882,8,27,-1.85362962600995,"Poor Condition"
"69","Butterfish","MAB","F",2006,101.221046457185,201,27,-1.16819853643314,"Poor Condition"
"70","Butterfish","MAB","F",2007,103.065032220667,76,27,-0.703893156503508,"Mediocre"
"71","Butterfish","MAB","F",2008,101.754040925166,251,27,-1.03399348785989,"Poor Condition"
"72","Butterfish","MAB","F",2009,103.877784728497,172,27,-0.499246586334899,"Mediocre"
"73","Butterfish","MAB","F",2010,108.609937392104,235,27,0.692283187849378,"OK"
"74","Butterfish","MAB","F",2011,107.470576277522,405,27,0.405398383389723,"OK"
"75","Butterfish","MAB","F",2012,104.569177163254,116,27,-0.325157808938783,"Mediocre"
"76","Butterfish","MAB","F",2013,111.157970888515,104,27,1.33386387900961,"Good Condition"
"77","Butterfish","MAB","F",2014,103.655029511888,123,27,-0.555335113441232,"Mediocre"
"78","Butterfish","MAB","F",2015,105.477046840748,125,27,-0.096561263410358,"Neutral"
"79","Butterfish","MAB","F",2016,109.969854604894,126,27,1.03470279360876,"Good Condition"
"80","Butterfish","MAB","F",2018,109.544571625795,144,27,0.927618900067629,"Good Condition"
"81","Butterfish","MAB","F",2019,109.539875270294,107,27,0.926436383820153,"Good Condition"
"82","Fourspot","MAB","F",1992,100.539240170783,118,27,0.861337979650111,"OK"
"83","Fourspot","MAB","F",1993,101.246960654036,127,27,1.16722704874851,"Good Condition"
"84","Fourspot","MAB","F",1994,103.38652329927,120,27,2.09198313722609,"Good Condition"
"85","Fourspot","MAB","F",1995,97.3216238782703,101,27,-0.529371595277821,"Mediocre"
"86","Fourspot","MAB","F",1996,95.3737989010845,139,27,-1.37125533771156,"Poor Condition"
"87","Fourspot","MAB","F",1997,98.5346805277541,113,27,-0.00506746948977232,"Neutral"
"88","Fourspot","MAB","F",1998,100.513510784564,132,27,0.850217292620271,"OK"
"89","Fourspot","MAB","F",1999,98.8334898763058,117,27,0.124083114150626,"Neutral"
"90","Fourspot","MAB","F",2000,100.41054807757,81,27,0.805715024649357,"OK"
"91","Fourspot","MAB","F",2001,94.9617504036325,50,27,-1.54934984577165,"Poor Condition"
"92","Fourspot","MAB","F",2002,96.7049679356915,65,27,-0.795900990276299,"Mediocre"
"93","Fourspot","MAB","F",2003,96.1933881351808,80,27,-1.01701465400482,"Poor Condition"
"94","Fourspot","MAB","F",2004,99.2608220741469,48,27,0.308783502632514,"OK"
"95","Fourspot","MAB","F",2005,97.9998076066899,104,27,-0.236248823967814,"Neutral"
"96","Fourspot","MAB","F",2006,97.9171363907399,80,27,-0.271980757529963,"Neutral"
"97","Fourspot","MAB","F",2007,93.493662137939,73,27,-2.18388305990612,"Poor Condition"
"98","Fourspot","MAB","F",2008,96.830165443634,69,27,-0.741788455646851,"Mediocre"
"99","Fourspot","MAB","F",2009,97.8756862209361,106,27,-0.28989623992066,"Neutral"
"100","Fourspot","MAB","F",2010,100.391313484677,70,27,0.797401499954537,"OK"
"101","Fourspot","MAB","F",2011,98.1755306562617,87,27,-0.160298273821804,"Neutral"
"102","Fourspot","MAB","F",2012,95.3786946223472,113,27,-1.36913932205984,"Poor Condition"
"103","Fourspot","MAB","F",2013,100.973620888356,104,27,1.04908486062483,"Good Condition"
"104","Fourspot","MAB","F",2014,99.5371664781678,96,27,0.428224347566067,"OK"
"105","Fourspot","MAB","F",2015,99.2519372842793,102,27,0.304943342334676,"OK"
"106","Fourspot","MAB","F",2016,100.064941823987,95,27,0.656338006907384,"OK"
"107","Fourspot","MAB","F",2018,97.888952895549,90,27,-0.284162153027068,"Neutral"
"108","Fourspot","MAB","F",2019,101.693011175397,90,27,1.36001782134706,"Good Condition"
"109","Goosefish","MAB","F",1992,96.7882201828168,10,27,-1.53678678301196,"Poor Condition"
"110","Goosefish","MAB","F",1993,106.67158946116,9,27,3.02482487802045,"Good Condition"
"111","Goosefish","MAB","F",1994,102.544914933116,9,27,1.12018222850825,"Good Condition"
"112","Goosefish","MAB","F",1995,101.863526367298,17,27,0.805691295305988,"OK"
"113","Goosefish","MAB","F",1996,99.5784654423123,9,27,-0.248965296796209,"Neutral"
"114","Goosefish","MAB","F",1997,98.2447388178171,6,27,-0.864539070434104,"Mediocre"
"115","Goosefish","MAB","F",1998,98.9868548496329,8,27,-0.522019728170154,"Mediocre"
"116","Goosefish","MAB","F",1999,99.8825117683738,15,27,-0.108634481727387,"Neutral"
"117","Goosefish","MAB","F",2000,100.954899843547,7,27,0.386320003033187,"OK"
"118","Goosefish","MAB","F",2001,98.1131489345865,17,27,-0.925273616408642,"Poor Condition"
"119","Goosefish","MAB","F",2002,100.842058453671,25,27,0.334238715224454,"OK"
"120","Goosefish","MAB","F",2003,100.876113179931,23,27,0.349956476247649,"OK"
"121","Goosefish","MAB","F",2004,103.286596548766,13,27,1.46250106851521,"Good Condition"
"122","Goosefish","MAB","F",2005,100.455064138413,17,27,0.155623737728558,"Neutral"
"123","Goosefish","MAB","F",2006,103.119416692086,12,27,1.38534017709831,"Good Condition"
"124","Goosefish","MAB","F",2007,98.4462111045715,9,27,-0.771550707179546,"Mediocre"
"125","Goosefish","MAB","F",2008,96.1745179331476,5,27,-1.82003749030136,"Poor Condition"
"126","Goosefish","MAB","F",2009,99.9473698620889,79,27,-0.0786996054446978,"Neutral"
"127","Goosefish","MAB","F",2010,101.202795834893,98,27,0.500734957387638,"OK"
"128","Goosefish","MAB","F",2011,99.0130556730288,94,27,-0.509926890377123,"Mediocre"
"129","Goosefish","MAB","F",2012,100.000030803057,71,27,-0.0543942541381673,"Neutral"
"130","Goosefish","MAB","F",2013,99.7760765974365,50,27,-0.157759016409637,"Neutral"
"131","Goosefish","MAB","F",2014,100.678027849619,71,27,0.258531343058742,"OK"
"132","Goosefish","MAB","F",2015,98.3667235306054,95,27,-0.808237735064375,"Mediocre"
"133","Goosefish","MAB","F",2016,100.008695976195,105,27,-0.0503948938270681,"Neutral"
"134","Goosefish","MAB","F",2018,99.19754670911,62,27,-0.424776124697665,"Mediocre"
"135","Goosefish","MAB","F",2019,98.163684573014,81,27,-0.901949186140305,"Poor Condition"
"136","Little Skate","MAB","F",1992,98.0362321949156,113,27,-0.769102302158547,"Mediocre"
"137","Little Skate","MAB","F",1993,100.443518667221,69,27,0.270694555659653,"OK"
"138","Little Skate","MAB","F",1994,102.102717874282,102,27,0.987364607954665,"Good Condition"
"139","Little Skate","MAB","F",1995,99.4732957622022,113,27,-0.148380921907305,"Neutral"
"140","Little Skate","MAB","F",1996,99.2724344946461,97,27,-0.235140398714496,"Neutral"
"141","Little Skate","MAB","F",1997,99.5047588215743,41,27,-0.134790852487312,"Neutral"
"142","Little Skate","MAB","F",1998,100.211787180099,97,27,0.170601079067314,"Neutral"
"143","Little Skate","MAB","F",1999,104.110720495918,84,27,1.85469587097137,"Good Condition"
"144","Little Skate","MAB","F",2000,99.3555347890603,71,27,-0.199246280582021,"Neutral"
"145","Little Skate","MAB","F",2001,96.2166313142899,90,27,-1.55505582282353,"Poor Condition"
"146","Little Skate","MAB","F",2002,96.9568166166948,69,27,-1.23534216992094,"Poor Condition"
"147","Little Skate","MAB","F",2003,99.3867077829116,119,27,-0.18578150128455,"Neutral"
"148","Little Skate","MAB","F",2004,97.5194131458155,23,27,-0.992335735111858,"Poor Condition"
"149","Little Skate","MAB","F",2005,98.5740377942629,71,27,-0.536803995018219,"Mediocre"
"150","Little Skate","MAB","F",2006,100.270043498894,56,27,0.195764157050726,"Neutral"
"151","Little Skate","MAB","F",2007,96.5707214692939,35,27,-1.40211107163035,"Poor Condition"
"152","Little Skate","MAB","F",2008,96.2021261938095,33,27,-1.56132112563285,"Poor Condition"
"153","Little Skate","MAB","F",2009,100.026264758864,105,27,0.0904670223713087,"Neutral"
"154","Little Skate","MAB","F",2010,100.653032445773,90,27,0.361191374843323,"OK"
"155","Little Skate","MAB","F",2011,101.520439721802,109,27,0.735856945576292,"OK"
"156","Little Skate","MAB","F",2012,98.6199419528828,57,27,-0.516976275948276,"Mediocre"
"157","Little Skate","MAB","F",2013,98.7450323346529,66,27,-0.462945072182461,"Mediocre"
"158","Little Skate","MAB","F",2014,98.2697980812717,70,27,-0.668216480084339,"Mediocre"
"159","Little Skate","MAB","F",2015,101.716972251469,69,27,0.820746678957426,"OK"
"160","Little Skate","MAB","F",2016,103.899207593645,72,27,1.76333555565311,"Good Condition"
"161","Little Skate","MAB","F",2018,103.329870134239,59,27,1.51741746150894,"Good Condition"
"162","Little Skate","MAB","F",2019,104.066081668982,46,27,1.83541469587296,"Good Condition"
"163","Red Hake","MAB","F",1992,105.882855034997,60,27,0.827651750005011,"OK"
"164","Red Hake","MAB","F",1993,110.234084193712,51,27,2.0534448407733,"Good Condition"
"165","Red Hake","MAB","F",1994,101.842033917904,59,27,-0.310695697507512,"Neutral"
"166","Red Hake","MAB","F",1995,107.637098719648,29,27,1.32184309450397,"Good Condition"
"167","Red Hake","MAB","F",1996,105.191244028661,38,27,0.632816690268256,"OK"
"168","Red Hake","MAB","F",1997,99.3112994174954,51,27,-1.02363375524149,"Poor Condition"
"169","Red Hake","MAB","F",1998,105.256771527616,80,27,0.651276567361385,"OK"
"170","Red Hake","MAB","F",1999,100.086144754015,47,27,-0.805350593110716,"Mediocre"
"171","Red Hake","MAB","F",2000,103.514354010294,32,27,0.160416795085621,"Neutral"
"172","Red Hake","MAB","F",2001,99.7986364070034,33,27,-0.886345119588208,"Poor Condition"
"173","Red Hake","MAB","F",2002,97.2803987747988,18,27,-1.59576266067246,"Poor Condition"
"174","Red Hake","MAB","F",2003,106.044073312926,34,27,0.873068859511636,"OK"
"175","Red Hake","MAB","F",2004,100.888463387233,22,27,-0.579327876007093,"Mediocre"
"176","Red Hake","MAB","F",2005,103.874594030349,41,27,0.261900700321162,"OK"
"177","Red Hake","MAB","F",2006,100.182537639228,16,27,-0.778195569005338,"Mediocre"
"178","Red Hake","MAB","F",2007,95.9818449072332,16,27,-1.96158075500667,"Poor Condition"
"179","Red Hake","MAB","F",2008,99.2417715568299,20,27,-1.04322058188541,"Poor Condition"
"180","Red Hake","MAB","F",2009,101.704042518853,42,27,-0.349569518529411,"Mediocre"
"181","Red Hake","MAB","F",2010,100.141609808813,34,27,-0.789725426411667,"Mediocre"
"182","Red Hake","MAB","F",2011,103.681862397297,62,27,0.207605903253411,"OK"
"183","Red Hake","MAB","F",2012,100.847671107048,60,27,-0.590819547298955,"Mediocre"
"184","Red Hake","MAB","F",2013,108.072307551785,58,27,1.44444660721634,"Good Condition"
"185","Red Hake","MAB","F",2014,101.766849793624,99,27,-0.331875960995192,"Mediocre"
"186","Red Hake","MAB","F",2015,107.844138709079,47,27,1.38016872602115,"Good Condition"
"187","Red Hake","MAB","F",2016,104.277717244073,78,27,0.375465312086332,"OK"
"188","Red Hake","MAB","F",2018,106.872728178436,58,27,1.10651080699903,"Good Condition"
"189","Red Hake","MAB","F",2019,102.055663880131,64,27,-0.250513592146536,"Neutral"
"190","Silver Hake","MAB","F",1992,104.436300511887,126,27,1.60693886490743,"Good Condition"
"191","Silver Hake","MAB","F",1993,96.218950455783,174,27,-1.00517894508454,"Poor Condition"
"192","Silver Hake","MAB","F",1994,100.676971153282,108,27,0.411929390539931,"OK"
"193","Silver Hake","MAB","F",1995,98.7898828690572,94,27,-0.187935150047415,"Neutral"
"194","Silver Hake","MAB","F",1996,104.515526684571,78,27,1.63212315123727,"Good Condition"
"195","Silver Hake","MAB","F",1997,96.6705406796347,112,27,-0.861628182553105,"Mediocre"
"196","Silver Hake","MAB","F",1998,97.9819779692004,80,27,-0.444750639625845,"Mediocre"
"197","Silver Hake","MAB","F",1999,96.5885716628716,78,27,-0.887684359677428,"Poor Condition"
"198","Silver Hake","MAB","F",2000,102.500073996322,52,27,0.991454343625497,"Good Condition"
"199","Silver Hake","MAB","F",2001,97.9742619255015,93,27,-0.44720340299007,"Mediocre"
"200","Silver Hake","MAB","F",2002,101.280306978425,71,27,0.60371679688176,"OK"
"201","Silver Hake","MAB","F",2003,101.831579975665,133,27,0.778954556552132,"OK"
"202","Silver Hake","MAB","F",2004,95.5898774994893,94,27,-1.20514762862604,"Poor Condition"
"203","Silver Hake","MAB","F",2005,102.195408658396,85,27,0.894607823780439,"Good Condition"
"204","Silver Hake","MAB","F",2006,93.9080698499456,124,27,-1.73975789645689,"Poor Condition"
"205","Silver Hake","MAB","F",2007,96.1114006812767,104,27,-1.03936669168536,"Poor Condition"
"206","Silver Hake","MAB","F",2008,94.3397711053652,134,27,-1.60252940671528,"Poor Condition"
"207","Silver Hake","MAB","F",2009,99.636612968311,110,27,0.0812220304811383,"Neutral"
"208","Silver Hake","MAB","F",2010,98.7448551975659,132,27,-0.202248472693027,"Neutral"
"209","Silver Hake","MAB","F",2011,100.998083221219,128,27,0.514003970049853,"OK"
"210","Silver Hake","MAB","F",2012,95.9739872628505,123,27,-1.08304744462303,"Poor Condition"
"211","Silver Hake","MAB","F",2013,102.23274496308,141,27,0.90647622731175,"Good Condition"
"212","Silver Hake","MAB","F",2014,97.0771909481416,106,27,-0.732362859601982,"Mediocre"
"213","Silver Hake","MAB","F",2015,103.915325757548,51,27,1.44133226118792,"Good Condition"
"214","Silver Hake","MAB","F",2016,100.886356061479,76,27,0.478488323056059,"OK"
"215","Silver Hake","MAB","F",2018,103.306022878365,65,27,1.24764805745703,"Good Condition"
"216","Silver Hake","MAB","F",2019,98.9090493094066,166,27,-0.150054716688158,"Neutral"
"217","Smooth Dogfish","MAB","F",1992,101.016211811404,62,27,1.00566884357491,"Good Condition"
"218","Smooth Dogfish","MAB","F",1993,97.5766270878635,58,27,-1.02924384852941,"Poor Condition"
"219","Smooth Dogfish","MAB","F",1994,101.722551867404,59,27,1.42355078585099,"Good Condition"
"220","Smooth Dogfish","MAB","F",1995,103.939625673732,48,27,2.73520669505162,"Good Condition"
"221","Smooth Dogfish","MAB","F",1996,101.342063049002,86,27,1.19844758648155,"Good Condition"
"222","Smooth Dogfish","MAB","F",1997,97.5935737084016,109,27,-1.01921795994319,"Poor Condition"
"223","Smooth Dogfish","MAB","F",1998,99.1537351155144,212,27,-0.0962018099594686,"Neutral"
"224","Smooth Dogfish","MAB","F",1999,100.302845643274,169,27,0.583630142300452,"OK"
"225","Smooth Dogfish","MAB","F",2000,100.900626543847,69,27,0.937286772226736,"Good Condition"
"226","Smooth Dogfish","MAB","F",2001,97.8341347401661,81,27,-0.876898250993099,"Poor Condition"
"227","Smooth Dogfish","MAB","F",2002,97.6012816256395,96,27,-1.01465783426587,"Poor Condition"
"228","Smooth Dogfish","MAB","F",2003,97.694230137127,126,27,-0.959668025628874,"Poor Condition"
"229","Smooth Dogfish","MAB","F",2004,99.4426324209821,80,27,0.0747144025668309,"Neutral"
"230","Smooth Dogfish","MAB","F",2005,97.8482996879211,97,27,-0.868518043995382,"Poor Condition"
"231","Smooth Dogfish","MAB","F",2006,97.7353878962834,90,27,-0.935318444729546,"Poor Condition"
